year,actual,logistic,gompertz,hybrid
2010,450.0,1.5948858857420468e-2,100.0,60.00637954354297
2011,1400.0,5.295205556563295e-2,100.0,60.021180822226256
2012,190.0,0.17580678842202807,100.0,60.07032271536881
2013,410.0,0.5836965872103982,100.0,60.23347863488416
2014,1000.0,1.9379132915925337,100.0,60.775165316637015
2015,450.0,6.433794213878172,100.0,62.573517685551266
2016,730.0,21.357593172163053,100.0,68.54303726886522
2017,920.0,70.87273921448627,100.0,88.34909568579451
2018,920.0,234.89919988030357,100.0,153.95967995212143
2019,680.0,775.4442595501902,100.0,370.1777038200761
2020,3100.0,2526.7143898022573,100.0,1070.685755920903
2021,12000.0,7901.406166922626,3434.1174667478745,5221.032946817775
2022,48000.0,21990.145567593325,34948.54691128702,29765.18637380954
2023,82000.0,47500.0,70293.7352044426,61176.24112266555
2024,99475.0,73009.85443240668,86761.14978171761,81260.63164199324
2025,176817.0,87098.59383307738,92439.38839560226,90303.0705705923
2026,0.0,92473.28561019774,94221.38233810665,93522.14364694309
2027,0.0,94224.55574044981,94764.81015231149,94548.70838756682
2028,0.0,94765.1008001197,94929.1008176591,94863.50081064334
2029,0.0,94929.12726078552,94978.64000587538,94958.83490783942
2030,0.0,94978.64240682783,94993.56598791959,94987.59655548289
