year,gdp
2010,1.7E+12
2011,1.82E+12
2012,1.82764E+12
2013,1.85672E+12
2014,2.03913E+12
2015,2.10359E+12
2016,2.2948E+12
2017,2.65147E+12
2018,2.70293E+12
2019,2.83561E+12
2020,2.67485E+12
2021,3.16727E+12
2022,3.34611E+12
2023,3.63849E+12
2024,3.90989E+12
2025,
2026,
